date,exports_usd_m
2022-05-01,1048.30075887742
2022-08-01,1225.3706146436166
2022-09-01,1079.8298985077095
2022-11-01,995.3306766048757
2022-12-01,1067.5928431750358
2023-01-01,978.1692142738522
2023-02-01,981.9602879262027
2023-03-01,1037.4546018517647
2023-04-01,848.6106835552755
2023-05-01,1019.4882810840827
2023-06-01,1005.3431602556694
2023-07-01,1020.4368441837171
2023-08-01,1118.6450490874095
2023-09-01,971.9093413000884
2023-10-01,927.9594595076355
2023-11-01,998.9726493735893
2023-12-01,1001.7603503451659
2024-01-01,970.7239598016961
2024-02-01,1059.318562299895
2024-03-01,1148.4812078626312
2024-04-01,877.5787392596055
2024-05-01,1011.2546937501978
2024-06-01,1077.0243072183061
2024-07-01,1130.2795584462635
2024-08-01,1231.6821030552205
2024-09-01,1011.7372962546182
