date,reserve_money_m0_lkr_m,broad_money_m2_lkr_m
2014-07-01,524505.661594,3230603.8432469997
2014-08-01,532055.401977,3259844.253482
2014-09-01,536887.527139,3316759.922535
2014-10-01,547674.307748,3351268.176702
2014-11-01,551849.9379690001,3398549.0459780004
2014-12-01,577911.98693,3460557.80413
2015-01-01,576104.549278,3467555.676991
2015-02-01,582954.210491,3492558.750338
2015-03-01,619560.667225,3553629.065269
2015-04-01,612655.3409749999,3593405.460566
2015-05-01,589812.1153010001,3641271.029784
2015-06-01,608045.12845,3677477.7560520004
2015-07-01,630331.503973,3732237.659718
2015-08-01,637226.513268,3783870.1947060004
2015-09-01,640491.39929,3821803.415061
2015-11-01,651125.380073,3945725.864658
2015-12-01,673431.824058,4057212.124732
2016-01-01,718561.431856,4102951.632565
2016-02-01,739336.3821836,4158409.5121876
2016-03-01,791618.1479689999,4206398.9140180005
2016-04-01,763101.95354393,4242061.199202931
2016-05-01,733268.150606,4241083.001838
2016-06-01,757159.32989193,4310482.36465593
2016-07-01,774495.69149517,4394704.73125217
2016-08-01,785691.0509984,4434839.1879994
2016-09-01,793736.3822349799,4551940.22521998
2016-10-01,792756.39764292,4616764.43785792
2016-11-01,798968.06047192,4683234.99907192
2016-12-01,856146.73752292,4823559.07325292
2017-01-01,828469.0959526402,4866011.09177864
2017-02-01,847628.23680664,4951313.42308164
2017-03-01,892163.73396364,5096203.21065164
2017-04-01,885559.6853184,5146803.9172141105
2017-05-01,859794.0527094,5214380.929141399
2017-06-01,891639.1789684,5281417.0975604
2017-07-01,894630.157963,5367002.748998
2017-08-01,911389.44546716,5423036.51866216
2017-09-01,909006.3117311599,5503149.36343616
2017-10-01,915381.11837076,5532506.133147759
2017-11-01,911617.2841932001,5549947.4724762
2017-12-01,939793.2900062,5665313.2216612
2018-01-01,929983.2575734999,5739013.6831345
2018-02-01,938134.0770483,5826696.2008793
2018-03-01,997245.0809343,5995488.7400963
2018-04-01,1000061.3884073,6043711.5501183
2018-05-01,973369.18639206,6047724.74909206
2018-06-01,998632.38779006,6120848.14320706
2018-07-01,1001383.7541426499,6160766.20263865
2018-08-01,1004713.21787977,6243718.771998771
2018-09-01,1010541.7800707731,6284450.794413633
2018-10-01,998428.09059384,6325969.72378184
2018-11-01,941606.80299147,6355317.27921547
2018-12-01,961096.3126233498,6427329.58494486
2019-01-01,949128.5275430201,6419135.37340702
2019-02-01,963038.46737202,6470529.0490671005
2019-03-01,962938.29937811,6550042.1245630905
2019-04-01,924228.9347304,6585518.9184594
2019-05-01,849420.1056575101,6621379.792132511
2019-06-01,874533.05542026,6661231.0480335895
2019-07-01,888419.20198612,6697443.465046121
2019-08-01,913417.56091775,6733743.01224375
2019-09-01,914667.4871285501,6761262.46182704
2019-10-01,908358.32139329,6743724.63057722
2019-11-01,918913.17730365,6790393.417525949
2019-12-01,932604.45858259,6912709.91330859
2020-01-01,935557.97750319,7001065.79162019
2020-02-01,963282.8422143601,7081610.69044636
2020-03-01,1013796.97036736,7335947.771035389
2020-04-01,1021589.4373893599,7466097.77070476
2020-05-01,996539.39241236,7523813.558629831
2020-06-01,868952.7176237201,7604127.203700861
2020-07-01,878831.80684588,7717772.247006364
2020-08-01,879828.42320082,7858435.8697138205
2020-09-01,891389.35956982,8027070.18605123
2020-10-01,928387.5797700301,8166460.981770441
2020-11-01,936256.74066984,8264614.33337825
2020-12-01,964439.73323794,8495788.28876337
2021-01-01,975897.11785027,8600018.59466923
2021-02-01,978089.65616732,8706197.86802632
2021-03-01,1028599.34983621,8860584.061792819
2021-04-01,1031144.38090354,8944644.373077359
2021-05-01,1036010.0118401101,9016772.20974011
2021-06-01,1065064.2538483602,9136219.722752359
2021-07-01,1063865.9349891401,9269581.34104814
2021-08-01,1089265.63721614,9412400.623723723
2021-09-01,1295955.78850114,9448987.05630214
2021-10-01,1286440.88917625,9535950.16260725
2021-11-01,1287802.8704132398,9510655.13616524
2021-12-01,1305808.68900562,9638905.35845862
2022-01-22,1337489.49377062,9650968.291091619
2022-02-22,1324234.44510921,9735818.023782909
2022-03-22,1386700.1295236903,10073392.15378472
2022-04-22,1481804.94447078,10193425.623765688
2022-05-22,1414850.0583536,10117497.47117743
2022-06-22,1452596.4004274402,10143626.332263399
2022-07-22,1436447.58682362,10253559.294894429
2022-08-22,1386247.65126437,10285938.02313927
2022-09-22,1378578.57737266,10351443.54299118
2022-10-22,1341680.5172585,10338383.96284081
2022-11-22,1318493.25969462,10416961.235001089
2022-12-22,1349388.58203157,10497052.426244661
2023-01-22,1589719.1460650403,10518322.592590999
2023-02-22,1504684.73628812,10549863.94806304
2023-03-23,1424211.22588772,10659665.05768765
2023-05-23,1559124.29671331,10837893.099972881
2023-06-22,1435810.86724833,10973953.34324448
2023-07-22,1373782.2498195102,11080818.796015698
2023-08-22,1407318.73121819,11041442.99253684
2023-09-23,1244000.5540409398,11125179.990288999
2023-10-22,1396528.88527276,11175222.561595999
2023-11-22,1411227.24965711,11243554.44687731
2024-01-01,1488614.2186827,11449588.36846354
2024-02-01,1413718.35882851,11566975.45606485
2024-03-01,1405565.76476464,11737487.545003721
2024-04-01,1426526.14508917,11870373.84429256
2024-05-01,1396201.10196541,12029766.321860109
2024-06-01,1417663.96452865,12121485.765096001
2024-07-01,1455099.5855368103,12193216.05962542
2024-08-01,1485680.96440088,12228642.1549614
2024-09-01,1523626.960979,12306347.95285606
2024-10-01,1474593.77184172,12364944.751933929
2024-11-01,1498004.37286028,12436535.431014769
2024-12-24,1539338.25763568,12660563.546709491
2025-01-01,1566950.20037986,12725484.47246477
2025-02-01,1589584.27128992,12825902.415821522
2025-03-01,1668649.26222282,13040913.70285386
2025-04-25,1677707.38218595,13128783.81734626
2025-05-25,1651108.2990194298,13165625.29000587
2025-06-25,1660115.82048527,13337362.860236218
2025-07-25,1688418.9931672,13400715.74399451
2025-08-25,1712206.78491301,13512781.092570279
2025-09-25,1695277.53767603,13641412.677314319
