date,imports_usd_m
2016-03-01,1566.028121829301
2016-04-01,1460.8906891889208
2016-05-01,1589.8369421072923
2016-06-01,1675.8020357763319
2016-07-01,1432.798930567194
2016-08-01,1649.0886004680874
2016-09-01,1508.2611045601425
2016-10-01,1723.5223677947777
2016-11-01,1732.0802257051048
2016-12-01,1816.0953106251125
2017-01-01,1798.9439527053685
2017-02-01,1611.1598884326759
2017-03-01,1869.3224849354765
2017-04-01,1603.8822114429377
2017-05-01,1724.7493989305217
2017-06-01,1540.9314766078398
2017-07-01,1591.1295797476996
2017-08-01,1856.9005983045895
2017-09-01,1666.6539924369974
2017-10-01,1727.2388159062466
2017-11-01,1940.3833461695779
2017-12-01,2048.499456865169
2018-01-01,2014.4907176540166
2018-02-01,1977.993103576892
2018-03-01,1978.5218342628234
2018-04-01,1793.6278037230775
2018-05-01,1856.9579551295597
2018-06-01,1819.4798365092513
2018-07-01,1754.4651588528998
2018-08-01,1887.11736795169
2018-09-01,1768.4101377475617
2018-10-01,1882.4734845031758
2018-11-01,1764.6054092036552
2018-12-01,1734.5814769958135
2019-01-01,1655.458756514842
2019-02-01,1432.39631128465
2019-03-01,1729.043562407311
2019-04-01,1595.57292195424
2019-05-01,1783.6946109147184
2019-06-01,1399.8439347672734
2019-07-01,1715.9194214006632
2019-08-01,1573.6060230957069
2019-09-01,1710.5377216240204
2019-10-01,1815.7250913912596
2019-11-01,1741.0910335719382
2019-12-01,1784.1899823205385
2020-01-01,1735.327088426726
2020-02-01,1562.3238369901699
2020-03-01,1205.0492034876243
2020-04-01,1122.60696271443
2020-05-01,993.8228128748569
2020-06-01,1055.4512879435238
2020-07-01,1293.6943139058217
2020-08-01,1289.0880100856452
2020-09-01,1524.8849953792833
2020-10-01,1362.7803874142035
2020-11-01,1383.7005110189446
2020-12-01,1526.6470333191699
2021-01-01,1591.5901970507055
2021-02-01,1523.603972592037
2021-03-01,1925.9318375289247
2021-04-01,1706.9720121710045
2021-05-01,1607.4340540931253
2021-06-01,1659.2043487791664
2021-07-01,1710.0957416175922
2021-08-01,1686.6675039530146
2021-09-01,1526.0326573702341
2021-10-01,1694.2769255028936
2021-11-01,1764.628143730678
2021-12-01,2240.979740627027
2022-01-01,1959.3836352967767
2022-02-01,1872.9492863064165
2022-03-01,1818.9123121575753
2022-04-01,1698.9619799051154
2022-05-01,1451.4641465787
2022-08-01,1485.870236308291
2022-09-01,1284.363138823137
2022-10-01,1335.6650258777895
2022-11-01,1444.5641504195742
2022-12-01,1425.5633543297174
2023-01-01,1423.3694642654602
2023-02-01,1021.0436136907641
2023-03-01,1449.5424020103417
2023-04-01,1431.1968085591518
2023-05-01,1466.2646603932599
2023-06-01,1369.0863464942988
2023-07-01,1387.5562815531268
2023-08-01,1426.0216959381046
2023-09-01,1349.281943822426
2023-10-01,1610.4858515561652
2023-11-01,1388.7052070763218
2023-12-01,1488.5760792325318
2024-01-01,1511.787852753663
