date,cse_inflows_usd_m,cse_outflows_usd_m,cse_net_usd_m
2019-09-01,36.23516096053879,43.14479396568284,-6.897463192894378
2019-10-01,28.208162443225937,37.85935217256029,-9.582961989095864
2019-11-01,16.90391003033622,52.49324275651781,-35.58933272618159
2019-12-01,12.34763083920849,17.726955085154383,-4.582105722494454
2020-01-01,150.0507614956511,166.4696725300997,-15.78161491305238
2020-02-01,10.162194630061553,16.14058896279662,-5.9508556519039715
2020-03-01,8.085825982751249,14.479931739283941,-6.394105756532692
2020-04-01,0.0,0.0,0.0
2020-05-01,20.317255273700436,56.654998019304706,-36.337742745604274
2020-06-01,20.58185034572957,66.96430793800204,-46.382457592272466
2020-07-01,25.45187863356225,43.58297973852313,-18.13110110496088
2020-08-01,9.14766738985364,52.819240792199786,-43.67157340234615
2020-09-01,13.905376701560233,55.79177739733029,-41.85937830323985
