model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2020-12-01,2021-01-01,1,validation,4841.863004371764,8306.027436540808,512.4737613867804,7649.265885334844,8962.788987746771,7301.597321200972,9310.457551880643,3175.032074153817,-30.004901358351812
BVAR,2020-12-01,2021-01-01,1,validation,4841.863004371764,7489.531761346339,508.2168687074256,6838.22563761796,8140.8378850747185,6493.445002344091,8485.618520348587,2360.9381097917103,-20.720450047191754
DMA,2020-12-01,2021-01-01,1,validation,4841.863004371764,7097.86018489342,,,,,,,
DMS,2020-12-01,2021-01-01,1,validation,4841.863004371764,8306.027436540808,,,,,,,
MS-VAR,2020-12-01,2021-01-01,1,validation,4841.863004371764,6360.089435670339,537.9057557980403,5670.735472211694,7049.443399128984,5305.813527229412,7414.3653441112665,1215.504525511148,-11.189809100039401
MS-VECM,2020-12-01,2021-01-01,1,validation,4841.863004371764,6595.230902378607,537.9057557980403,5905.876938919962,7284.584865837252,5540.95499393768,7649.506810819535,1450.0463588792861,-12.519180377253743
Naive,2020-12-01,2021-01-01,1,validation,4841.863004371764,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,2367.3897671401255,-19.53378926327233
VECM,2020-12-01,2021-01-01,1,validation,4841.863004371764,7365.003932010094,412.7898989266404,6835.992390799496,7894.015473220692,6555.9505969319725,8174.057267088216,2290.249166523745,-25.62265263891377
XGBoost,2020-12-01,2021-01-01,1,validation,4841.863004371764,6056.404296875,3.587515622366103,6051.806710612739,6061.001883137261,6049.372895461188,6063.435698288812,1212.5172535582822,-57309.10376605893
ARIMA,2021-01-01,2021-02-01,1,validation,4582.993424023525,5134.760399363475,513.7935288008669,4476.307498161834,5793.213300565116,4127.74358742406,6141.77721130289,336.11688331857033,-7.73739920757206
