model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
MS-VECM,2021-01-01,2021-02-01,1,validation,4582.993424023525,5198.761888067824,614.8464373410135,4410.804473723682,5986.719302411965,3993.6850148567073,6403.83876127894,371.038701879073,-7.841811803715256
Naive,2021-01-01,2021-02-01,1,validation,4582.993424023525,4841.863004371764,614.8464373410135,4053.9055900276226,5629.820418715905,3636.7861311606475,6046.93987758288,186.5369826342933,-7.428944742335663
VECM,2021-01-01,2021-02-01,1,validation,4582.993424023525,4909.587354129337,548.3592143115493,4206.836744547345,5612.3379637113285,3834.823043488049,5984.351664770625,203.53372601267463,-7.403229208506123
XGBoost,2021-01-01,2021-02-01,1,validation,4582.993424023525,5899.5029296875,1.674449222843632,5897.357036664539,5901.648822710461,5896.221069516785,5902.784789858215,1315.5647988542667,-309083.6653653132
ARIMA,2021-02-01,2021-03-01,1,validation,4055.2,5108.6741278158825,599.6977175482807,4340.13057903812,5877.217676593645,3933.2881998104103,6284.060055821355,734.2113619455521,-8.858318194829133
BVAR,2021-02-01,2021-03-01,1,validation,4055.2,5104.9352551033535,618.9564118637505,4311.710696475248,5898.159813731459,3891.8029798502957,6318.067530356411,723.3881832163369,-8.785140780048016
DMA,2021-02-01,2021-03-01,1,validation,4055.2,4875.69966076037,,,,,,,
DMS,2021-02-01,2021-03-01,1,validation,4055.2,4784.355689394142,,,,,,,
MS-VAR,2021-02-01,2021-03-01,1,validation,4055.2,4784.355689394142,614.8464373410135,3996.398275050001,5572.313103738284,3579.278816183026,5989.432562605259,453.2712604606664,-8.043508415915971
MS-VECM,2021-02-01,2021-03-01,1,validation,4055.2,4431.3530932442945,614.8464373410135,3643.395678900153,5219.310507588436,3226.276220033178,5636.429966455411,232.73316190799704,-7.527450786797318
Naive,2021-02-01,2021-03-01,1,validation,4055.2,4841.863004371764,614.8464373410135,4053.9055900276226,5629.820418715905,3636.7861311606475,6046.93987758288,498.2498670358705,-8.158802502247188
VECM,2021-02-01,2021-03-01,1,validation,4055.2,4909.587354129337,548.3592143115493,4206.836744547345,5612.3379637113285,3834.823043488049,5984.351664770625,573.127357584865,-8.439675264709784
XGBoost,2021-02-01,2021-03-01,1,validation,4055.2,5627.58642578125,1.674449222843632,5625.440532758289,5629.732318804211,5624.304565610535,5630.868285951965,1571.4417189715423,-440906.01604543
ARIMA,2021-03-01,2021-04-01,1,validation,4470.738472224253,5032.023177367895,599.6977175482807,4263.479628590133,5800.566726145657,3856.637249362423,6207.409105373367,335.66664142342466,-7.753361754162754
BVAR,2021-03-01,2021-04-01,1,validation,4470.738472224253,5076.525045834568,603.8233068007788,4302.694341691471,5850.355749977665,3893.0531114791947,6259.9969801899415,365.10996373202516,-7.8254768286053
DMA,2021-03-01,2021-04-01,1,validation,4470.738472224253,4584.175265195568,,,,,,,
DMS,2021-03-01,2021-04-01,1,validation,4470.738472224253,4095.1471284907047,,,,,,,
MS-VAR,2021-03-01,2021-04-01,1,validation,4470.738472224253,4240.05845024339,614.8464373410135,3452.101035899249,5028.015864587532,3034.981577032274,5445.135323454507,177.81447458943748,-7.410692271773688
MS-VECM,2021-03-01,2021-04-01,1,validation,4470.738472224253,4095.1471284907047,614.8464373410135,3307.1897141465633,4883.104542834846,2890.0702552795883,5300.224001701821,232.47530913119007,-7.526892252806373
Naive,2021-03-01,2021-04-01,1,validation,4470.738472224253,4841.863004371764,614.8464373410135,4053.9055900276226,5629.820418715905,3636.7861311606475,6046.93987758288,230.4370741905143,-7.52248071808838
VECM,2021-03-01,2021-04-01,1,validation,4470.738472224253,4909.587354129337,548.3592143115493,4206.836744547345,5612.3379637113285,3834.823043488049,5984.351664770625,261.23544646930003,-7.546104776583279
XGBoost,2021-03-01,2021-04-01,1,validation,4470.738472224253,5971.17431640625,1.674449222843632,5969.028423383289,5973.320209429211,5967.892456235535,5974.456176576965,1499.4911373722887,-401478.64768675354
ARIMA,2021-04-01,2021-05-01,1,validation,4032.831217910092,5019.882654164247,599.6977175482807,4251.339105386484,5788.426202942009,3844.4967261587744,6195.268582169719,673.703601038129,-8.669882261729775
BVAR,2021-04-01,2021-05-01,1,validation,4032.831217910092,5088.4474201855755,588.89760804489,4333.744768649941,5843.15007172121,3934.2293178358377,6242.665522535313,740.4988847864871,-8.903771461906288
DMA,2021-04-01,2021-05-01,1,validation,4032.8312179100926,4377.138794236131,,,,,,,
DMS,2021-04-01,2021-05-01,1,validation,4032.8312179100926,3939.110016251341,,,,,,,
MS-VAR,2021-04-01,2021-05-01,1,validation,4032.831217910092,4033.561152415465,614.8464373410135,3245.6037380713233,4821.518566759607,2828.484279204349,5238.638025626581,143.6868699042318,-7.340311779151966
MS-VECM,2021-04-01,2021-05-01,1,validation,4032.831217910092,3939.110016251341,614.8464373410135,3151.1526019072,4727.067430595483,2734.033143040225,5144.186889462458,149.37478569345072,-7.351928566373518
Naive,2021-04-01,2021-05-01,1,validation,4032.831217910092,4841.863004371764,614.8464373410135,4053.9055900276226,5629.820418715905,3636.7861311606475,6046.93987758288,516.2693357535917,-8.20601194221699
VECM,2021-04-01,2021-05-01,1,validation,4032.831217910092,4909.587354129337,548.3592143115493,4206.836744547345,5612.3379637113285,3834.823043488049,5984.351664770625,592.9353499985735,-8.504064774553905
XGBoost,2021-04-01,2021-05-01,1,validation,4032.831217910092,6460.150390625,1.674449222843632,6458.004497602039,6462.296283647961,6456.868530454285,6463.432250795715,2426.3744659052,-1050704.0477157792
ARIMA,2021-05-01,2021-06-01,1,validation,4060.0459080962846,4963.427428252809,599.6977175482807,4194.883879475046,5731.970977030571,3788.0415002473364,6138.813356258281,599.6794613180019,-8.449976896253713
BVAR,2021-05-01,2021-06-01,1,validation,4060.0459080962846,5084.764826306745,630.1984025886624,4277.133076865286,5892.396575748204,3849.5986541183274,6319.930998495162,696.7107796876434,-8.686953324623676
DMA,2021-05-01,2021-06-01,1,validation,4060.045908096285,4370.984791659042,,,,,,,
DMS,2021-05-01,2021-06-01,1,validation,4060.045908096285,4083.274844258485,,,,,,,
MS-VAR,2021-05-01,2021-06-01,1,validation,4060.0459080962846,4457.767424999682,614.8464373410135,3669.8100106555403,5245.724839343823,3252.6905517885652,5662.844298210798,242.888482537996,-7.549527056256603
MS-VECM,2021-05-01,2021-06-01,1,validation,4060.0459080962846,4083.274844258485,614.8464373410135,3295.317429914343,4871.232258602627,2878.197971047369,5288.351717469601,144.0365933641357,-7.341024740971822
Naive,2021-05-01,2021-06-01,1,validation,4060.0459080962846,4841.863004371764,614.8464373410135,4053.9055900276226,5629.820418715905,3636.7861311606475,6046.93987758288,494.38347020929706,-8.148749613668585
VECM,2021-05-01,2021-06-01,1,validation,4060.0459080962846,4909.587354129337,548.3592143115493,4206.836744547345,5612.3379637113285,3834.823043488049,5984.351664770625,568.8642453214921,-8.425945397711233
XGBoost,2021-05-01,2021-06-01,1,validation,4060.0459080962846,6235.75146484375,1.674449222843632,6233.605571820789,6237.897357866711,6232.469604673035,6239.033325014465,2174.7608499377575,-844164.3737754903
ARIMA,2021-06-01,2021-07-01,1,validation,2805.884166609781,4966.782407497048,599.6977175482807,4198.238858719285,5735.32595627481,3791.3964794915755,6142.16833550252,1822.6011573444423,-13.807294497505032
BVAR,2021-06-01,2021-07-01,1,validation,2805.884166609781,5105.775840782402,598.3479090622566,4338.96214118309,5872.589540381714,3933.035488795564,6278.516192769241,1962.3268179774852,-14.700265894896555
DMA,2021-06-01,2021-07-01,1,validation,2805.884166609781,4141.984781956229,,,,,,,
DMS,2021-06-01,2021-07-01,1,validation,2805.884166609781,3977.8197009199885,,,,,,,
MS-VAR,2021-06-01,2021-07-01,1,validation,2805.884166609781,4234.510812934372,614.8464373410135,3446.5533985902302,5022.468227278513,3029.433939723255,5439.587686145488,1085.9383030162885,-10.039754157368623
MS-VECM,2021-06-01,2021-07-01,1,validation,2805.884166609781,3977.8197009199885,614.8464373410135,3189.862286575847,4765.77711526413,2772.742827708872,5182.896574131105,838.4265975870333,-9.156847571583382
Naive,2021-06-01,2021-07-01,1,validation,2805.884166609781,4841.863004371764,614.8464373410135,4053.9055900276226,5629.820418715905,3636.7861311606475,6046.93987758288,1689.2385305899336,-12.822868656442399
VECM,2021-06-01,2021-07-01,1,validation,2805.884166609781,4909.587354129337,548.3592143115493,4206.836744547345,5612.3379637113285,3834.823043488049,5984.351664770625,1794.3405246712946,-14.584696956157366
XGBoost,2021-06-01,2021-07-01,1,validation,2805.884166609781,6407.7822265625,1.674449222843632,6405.636333539539,6409.928119585461,6404.500366391785,6411.064086733215,3600.9533531430106,-2313604.6253646123
ARIMA,2021-07-01,2021-08-01,1,validation,3543.508985941734,4841.991791707051,599.6977175482807,4073.4482429292884,5610.535340484813,3666.6058637015785,6017.377719712523,966.6074164726721,-9.659472267109074
BVAR,2021-07-01,2021-08-01,1,validation,3543.508985941734,5076.981778687602,622.2480390980556,4279.538830024182,5874.424727351022,3857.398032604775,6296.565524770429,1185.1903385612663,-10.388929717191298
DMA,2021-07-01,2021-08-01,1,validation,3543.508985941734,3593.2222661173537,,,,,,,
DMS,2021-07-01,2021-08-01,1,validation,3543.508985941734,3532.9552555691116,,,,,,,
MS-VAR,2021-07-01,2021-08-01,1,validation,3543.508985941734,3485.667938862262,614.8464373410135,2697.71052451812,4273.625353206404,2280.591065651146,4690.744812073378,145.8557111092851,-7.344736030639533
MS-VECM,2021-07-01,2021-08-01,1,validation,3543.508985941734,3532.9552555691116,614.8464373410135,2744.99784122497,4320.912669913253,2327.878382357995,4738.032128780228,143.75879273284795,-7.340458390028843
Naive,2021-07-01,2021-08-01,1,validation,3543.508985941734,4841.863004371764,614.8464373410135,4053.9055900276226,5629.820418715905,3636.7861311606475,6046.93987758288,959.1655061813191,-9.569890434821659
VECM,2021-07-01,2021-08-01,1,validation,3543.508985941734,4909.587354129337,548.3592143115493,4206.836744547345,5612.3379637113285,3834.823043488049,5984.351664770625,1058.9583552198187,-10.328934600222546
