model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end,rank
XGBoost,test,1,all,475.7449645996094,640.5828291390734,11.819138413645256,13.064275287313777,1.5938549152791128,900.8351440429688,466.4312168067368,-928.9466861074696,0.027777777777777776,0.05555555555555555,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01,5
ARIMA,test,1,all,896.2363082988318,1170.390372884875,21.60856574591753,25.90452789136864,3.0025975081752287,1785.5782432023416,734.1573779598625,-10.123757812328735,0.4166666666666667,0.5,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01,6
Naive,test,1,all,935.851255853071,1178.9472483420434,20.469342901823072,24.702506698324086,3.135316682472718,1864.1568114086267,761.484488425461,-9.881838123669574,0.4444444444444444,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01,7
VECM,test,1,all,956.8061834190105,1194.5289114704553,21.642132461299944,26.192983508917564,3.205520503396812,1892.3366781255863,782.3888174252925,-10.295799669976427,0.3611111111111111,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01,8
BVAR,test,1,all,967.3734967757076,1213.7493193246917,21.459967507541332,26.06620160990021,3.2409234305702848,1921.6119243618361,793.1743253051834,-10.195183703643838,0.4166666666666667,0.5,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01,9
MS-VAR,test,1,all,278.605196688378,341.75711050611517,6.183233194099468,6.410103025064629,0.9333914075954466,482.6516193942795,201.59517575514806,-7.364361215571561,0.9444444444444444,1.0,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01,1
DMA,test,1,all,288.55445059732693,356.61818065575665,6.512159510784973,6.863689583145897,0.9667236936438846,531.8378393716404,,,,,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01,2
DMS,test,1,all,289.1187752346727,358.77314587882375,6.557544327842817,6.923658655520429,0.968614310810592,536.889252726789,,,,,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01,3
MS-VECM,test,1,all,289.1187752346727,358.77314587882375,6.557544327842817,6.923658655520429,0.968614310810592,536.889252726789,209.48838700598228,-7.387804271444168,0.9444444444444444,1.0,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01,4
XGBoost,test,1,all,448.56434461805554,590.1652841439077,11.09069429219693,12.180442995035747,1.5027935946524336,849.8968505859375,439.2310215953292,-742.5125962141185,0.027777777777777776,0.027777777777777776,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01,5
