model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2020-04-01,2020-05-01,1,validation,6499.857251537734,7592.851930236575,468.82147922919677,6992.033029569275,8193.670830903875,6673.978715768581,8511.725144704567,831.621144630646,-9.78679540460319
BVAR,2020-04-01,2020-05-01,1,validation,6499.857251537734,7564.627123475575,484.82943535196733,6943.2932015779625,8185.9610453731875,6614.378891540855,8514.875355410295,796.0248205183105,-9.514326125996199
DMA,2020-04-01,2020-05-01,1,validation,6499.857251537734,7483.970656795503,,,,,,,
DMS,2020-04-01,2020-05-01,1,validation,6499.857251537734,7592.851930236575,,,,,,,
MS-VAR,2020-04-01,2020-05-01,1,validation,6499.857251537734,6830.024890712559,495.70737452821083,6194.750328833728,7465.299452591389,5858.4562897663845,7801.593491658733,200.47053879931303,-7.346737957485838
MS-VECM,2020-04-01,2020-05-01,1,validation,6499.857251537734,7178.953130970374,495.70737452821083,6543.678569091544,7814.227692849205,6207.3845300242,8150.521731916549,438.24980149691004,-8.063310132323197
Naive,2020-04-01,2020-05-01,1,validation,6499.857251537734,7512.733529432759,495.70737452821083,6877.458967553928,8148.008091311589,6541.164928486584,8484.302130378932,740.6935219006389,-9.212451040991079
VECM,2020-04-01,2020-05-01,1,validation,6499.857251537734,7650.29832867818,453.187854236359,7069.514724595595,8231.081932760766,6762.0664561439535,8538.530201212407,896.36811089016,-10.257369193565866
XGBoost,2020-04-01,2020-05-01,1,validation,6499.857251537734,8058.3056640625,7.457018050498457,8048.749110905586,8067.862217219414,8043.690177251458,8072.921150873542,1554.2412406163476,-21841.512189860678
ARIMA,2020-05-01,2020-06-01,1,validation,6694.648013475818,7702.657596481088,468.82147922919677,7101.838695813788,8303.476497148387,6783.784382013095,8621.530810949082,748.7813601835848,-9.380609635365094
BVAR,2020-05-01,2020-06-01,1,validation,6694.648013475818,7577.3323256436715,501.0351166207136,6935.229987545375,8219.43466374197,6595.321542077274,8559.343109210069,615.7482500637362,-8.687445958632345
DMA,2020-05-01,2020-06-01,1,validation,6694.648013475818,7270.639164993738,,,,,,,
DMS,2020-05-01,2020-06-01,1,validation,6694.648013475818,7702.657596481088,,,,,,,
MS-VAR,2020-05-01,2020-06-01,1,validation,6694.648013475818,6561.621517251786,495.70737452821083,5926.346955372956,7196.896079130616,5590.052916305612,7533.19011819796,130.0011227454446,-7.160932029030317
MS-VECM,2020-05-01,2020-06-01,1,validation,6694.648013475818,6979.926072312427,495.70737452821083,6344.651510433597,7615.200634191257,6008.357471366253,7951.494673258601,179.59179381424102,-7.290522657802027
Naive,2020-05-01,2020-06-01,1,validation,6694.648013475818,7512.733529432759,495.70737452821083,6877.458967553928,8148.008091311589,6541.164928486584,8484.302130378932,558.8557815879271,-8.486734731963118
