date,gross_reserves_usd_m,PC1,PC2,PC3
2017-07-01,6710.485696665525,1.4698266501924568,1.155664170844681,1.4589842739209442
2017-08-01,7693.548007249217,1.8026870471389584,-1.4101981440441467,1.6486667305597893
2017-09-01,7279.835590729757,1.2753730662898615,1.6956527787689915,-1.5706701367054534
2017-10-01,7500.7921236637585,1.1201330459925112,0.15848485997383793,-0.13990997203287786
2017-11-01,7335.117235752753,2.218650150917229,-1.456582942388988,-0.996970674004434
2017-12-01,7958.65303040954,3.7090674857006407,-2.030074848525751,0.5068332980608655
2018-01-01,7669.98,3.6673064276859146,-2.598242986234691,1.3861924944558857
2018-02-01,7922.369345490189,2.69003440480485,-2.0524386667689702,-0.721316059495335
2018-03-01,7319.749709742925,4.071057553068516,-0.326781333147448,0.11426679670715399
2018-04-01,9935.768813397091,1.2708708070029118,-1.657601052258195,-1.0657812711108499
