regime,horizon,response_variable,shock_variable,response,response_type
0,7,imports_usd_m,imports_usd_m,100.64422437347957,cumulative
0,7,imports_usd_m,remittances_usd_m,47.05375954641501,cumulative
0,7,imports_usd_m,tourism_usd_m,37.6848913768411,cumulative
0,7,remittances_usd_m,gross_reserves_usd_m,8.909928343868872,cumulative
0,7,remittances_usd_m,exports_usd_m,23.886154484451257,cumulative
0,7,remittances_usd_m,imports_usd_m,6.532724426372596,cumulative
0,7,remittances_usd_m,remittances_usd_m,28.352237909278006,cumulative
0,7,remittances_usd_m,tourism_usd_m,17.281684203867005,cumulative
0,7,tourism_usd_m,gross_reserves_usd_m,3.095841176306273,cumulative
0,7,tourism_usd_m,exports_usd_m,7.243837142783927,cumulative
0,7,tourism_usd_m,imports_usd_m,0.5051813046874268,cumulative
0,7,tourism_usd_m,remittances_usd_m,0.29271390358041066,cumulative
0,7,tourism_usd_m,tourism_usd_m,24.04638547444238,cumulative
0,8,gross_reserves_usd_m,gross_reserves_usd_m,172.99006641348413,cumulative
0,8,gross_reserves_usd_m,exports_usd_m,133.70680551238416,cumulative
0,8,gross_reserves_usd_m,imports_usd_m,14.77672435561413,cumulative
0,8,gross_reserves_usd_m,remittances_usd_m,87.30609389296065,cumulative
0,8,gross_reserves_usd_m,tourism_usd_m,62.03245767891971,cumulative
0,8,exports_usd_m,gross_reserves_usd_m,27.63732313029641,cumulative
0,8,exports_usd_m,exports_usd_m,84.10630013187858,cumulative
0,8,exports_usd_m,imports_usd_m,28.634545343991107,cumulative
0,8,exports_usd_m,remittances_usd_m,35.14273631969642,cumulative
0,8,exports_usd_m,tourism_usd_m,64.81281303362285,cumulative
0,8,imports_usd_m,gross_reserves_usd_m,28.972741356283404,cumulative
0,8,imports_usd_m,exports_usd_m,58.63611337298712,cumulative
0,8,imports_usd_m,imports_usd_m,101.79914859303226,cumulative
0,8,imports_usd_m,remittances_usd_m,47.440777863698194,cumulative
0,8,imports_usd_m,tourism_usd_m,37.788708890349426,cumulative
0,8,remittances_usd_m,gross_reserves_usd_m,8.945741004612954,cumulative
0,8,remittances_usd_m,exports_usd_m,23.996118103739644,cumulative
0,8,remittances_usd_m,imports_usd_m,6.688904269118353,cumulative
0,8,remittances_usd_m,remittances_usd_m,28.400785433651052,cumulative
0,8,remittances_usd_m,tourism_usd_m,17.288446942418506,cumulative
0,8,tourism_usd_m,gross_reserves_usd_m,3.1243924079392187,cumulative
0,8,tourism_usd_m,exports_usd_m,7.2820733376628,cumulative
0,8,tourism_usd_m,imports_usd_m,0.5245774278816918,cumulative
0,8,tourism_usd_m,remittances_usd_m,0.3072160869594711,cumulative
0,8,tourism_usd_m,tourism_usd_m,24.08318887782273,cumulative
0,9,gross_reserves_usd_m,gross_reserves_usd_m,173.122688270986,cumulative
0,9,gross_reserves_usd_m,exports_usd_m,133.8474378559763,cumulative
0,9,gross_reserves_usd_m,imports_usd_m,14.7870229675762,cumulative
0,9,gross_reserves_usd_m,remittances_usd_m,87.35503116405842,cumulative
0,9,gross_reserves_usd_m,tourism_usd_m,62.22668886123973,cumulative
0,9,exports_usd_m,gross_reserves_usd_m,27.6219404426671,cumulative
0,9,exports_usd_m,exports_usd_m,84.02367329135528,cumulative
0,9,exports_usd_m,imports_usd_m,28.49181705315673,cumulative
0,9,exports_usd_m,remittances_usd_m,35.10341420705841,cumulative
0,9,exports_usd_m,tourism_usd_m,64.83480977261107,cumulative
0,9,imports_usd_m,gross_reserves_usd_m,28.87678091430933,cumulative
0,9,imports_usd_m,exports_usd_m,58.25493120665602,cumulative
