date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m,usd_lkr,m2_usd_m,cse_net_usd_m,trade_balance_usd_m
2013-04-01,7238.0,696.5398243173713,1525.5540429605203,515.3293172313753,108.6639283,125.9673,22135.407103264104,31.381666666666668,-829.014218643149
2013-05-01,7270.0,793.8675557900644,1548.8009254471533,512.3554990725178,100.7244642,126.2432,22174.796196951593,39.11739989056456,-754.9333696570889
2013-06-01,7303.0,807.6126751415874,1509.3940455254678,528.2331006348323,121.50650610000002,127.9125,22232.66116467898,12.601641331666478,-701.7813703838805
2013-07-01,7336.0,859.3002286407439,1433.0315762055395,526.6277433381692,144.0328344,131.1345,21928.70719307276,11.021666666666668,-573.7313475647957
2013-08-01,7369.0,918.6373789675208,1474.908208041011,540.0171500252005,165.90774710000002,131.9682,21849.883203286852,17.47794740823707,-556.2708290734902
2013-09-01,7402.0,899.0348928672161,1486.3308700693876,557.7681820988254,121.5872601,132.3465,22193.320968775148,11.10878291744446,-587.2959772021716
2013-10-01,7434.0,1041.3319298561878,1393.6547102502932,572.954526078492,144.08936219999998,130.9955,22920.08054978988,24.55785504611101,-352.3227803941054
2013-11-01,7005.112547885943,1031.842627143399,1569.6831663124335,567.7798934674968,147.268378,131.0895,22867.89656257748,79.81751853885208,-537.8405391690344
2013-12-01,7495.272121523254,987.6804415027386,1551.0887289877007,602.83257708076,207.1582362,130.7643,23391.650736424242,2.6886511455913222,-563.4082874849621
2014-01-01,8048.583905345139,903.9139666797748,1655.4543712331215,555.4649928517975,233.33567400000004,130.6857,23679.483143817575,12.176593416182762,-751.5404045533467
2014-02-01,8259.552166921556,842.3512780193341,1420.4187569877663,502.0028602715727,225.85842576,130.7968,23855.634380068932,-38.75316729820259,-578.0674789684322
2014-03-01,8059.724448730886,1070.1044568320217,1672.100925295082,605.8833771114471,211.80177216,130.5857,24243.161839573553,-21.46694375832549,-601.9964684630604
2014-04-01,8896.731082422368,764.2577702006421,1444.452689961651,554.0070764109681,179.29954152000005,130.5936,24312.971778609364,-2.636531184591213,-680.1949197610089
2014-05-01,8772.663840758212,883.529809367989,1353.193029538538,557.4906459045135,143.34602832000002,130.3833,24380.216159807278,69.91199817401531,-469.663220170549
