date,gross_reserves_usd_m,import_cover_months,fx_reserves_usd_m,imf_position_usd_m,sdrs_usd_m,gold_usd_m,exports_usd_m,imports_usd_m,tourism_usd_m,remittances_usd_m,cse_net_usd_m,m0_lkr_m,m2_lkr_m,usd_lkr,inflation_yoy_pct,govt_short_term_usd_m,total_short_term_usd_m,portfolio_liabilities_usd_b,total_short_term_debt_lkr_m,trade_balance_usd_m,ca_proxy_usd_m,net_usable_reserves_usd_m,gg_ratio,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2019-08-01,8523.712277937197,5.682474851958131,7494.660601122992,65.48230888693999,7.290010138029388,956.8327472800836,1032.5052702891876,1573.6060230957069,270.63162890399997,518.2479690698589,-11.97406279243592,913417.56091775,6733743.01224375,,4.6,,,5147.713086727778,1216128.07580866,-541.1007528065193,247.77884516733957,8523.712277937197,,,176.64844715065556,2.11629443276955
2019-09-01,7635.331963594275,5.0902213090628505,6631.671242422526,65.24159677321,7.29165432272439,926.696902230068,953.7545302038528,1710.5377216240204,204.64129139999997,516.2660983194008,-6.897463192894378,914667.48712855,6761262.46182704,,4.8,,,5314.878980145033,1291584.97654455,-756.7831914201676,-35.875801700766715,7635.331963594275,,,-888.3803143429213,-10.422457790397354
2019-10-01,7780.083013603978,5.186722009069318,6752.639899860887,66.01110985249,7.406435889843259,952.1819402501416,977.2802613026088,1815.7250913912596,223.80585645599996,607.0442233570847,-9.582961989095864,908358.32139329,6743724.63057722,,5.0,,,5314.878980145033,1291584.97654455,-838.4448300886509,-7.594750275566184,7780.083013603978,,,144.75105000970234,1.895805587758126
2019-11-01,7520.452982431865,5.013635321621243,6523.900823304263,65.7005290139,7.247737928265381,916.4827482101044,978.7856206740918,1741.0910335719382,333.578027328,515.26123914573,-35.58933272618159,918913.17730365,6790393.417525949,,4.1,,,5314.878980145033,1291584.97654455,-762.3054128978464,86.53385357588354,7520.452982431865,,,-259.63003117211247,-3.3371113228243487
2019-12-01,7642.393000751939,5.0949286671679594,6616.372127385561,66.17573205353,7.3240043404767325,954.8786531201208,999.9429518693604,1784.1899823205383,455.484489096,665.0234761837822,-4.582105722494454,932604.45858259,6912709.91330859,,4.8,,,5692.529476870899,1294100.52367259,-784.2470304511779,336.2609348286044,7642.393000751939,,,121.94001832007416,1.621445125778087
2020-01-01,7512.733529432759,5.008489019621839,6513.971348897472,65.89434294245,7.3168494705418095,935.5511019801118,1004.8850926174435,1735.327088426726,307.03928157,580.9276408043164,-15.78161491305238,935557.97750319,7001065.79162019,,4.7,,,5692.529476870899,1294100.52367259,-730.4419958092825,157.52492656503387,7512.733529432759,,,-129.65947131918074,-1.6965820955088695
2020-02-01,7941.515070351391,5.2943433802342605,7545.645533609353,65.71871402448001,0.4829395746671904,341.5418752401859,988.5170201257566,1562.32383699017,278.911196235,527.32246625236,-5.9508556519039715,963282.84221436,7081610.69044636,,5.5,,,5692.529476870899,1294100.52367259,-573.8068168644135,232.42684562294653,7941.515070351391,,,428.78154091863234,5.707397170933692
2020-03-01,7533.736569408685,5.022491046272457,7125.383680076962,65.3129011568,0.5003688724843373,339.7089058301294,656.2184495098973,1205.0492034876245,95.92877384999998,492.0915681614186,-6.394105756532692,1013796.97036736,7335947.771035389,,5.9,,,6276.2513130707775,1491636.7953483602,-548.8307539777272,39.18958803369128,7533.736569408685,,,-407.77850094270616,-5.134769591574462
2020-04-01,7209.520101152639,4.806346734101759,6765.56143985292,65.27126705363001,7.333068418113456,369.05030490017214,282.3103443550165,1122.60696271443,0.0,375.0192363972781,0.0,1021589.43738936,7466097.77070476,,5.2,,,6276.2513130707775,1491636.7953483602,-840.2966183594135,-465.27738196213534,7209.520101152639,,,-324.216468256046,-4.303528073606289
2020-05-01,6499.857251537734,4.333238167691823,6057.850264729003,65.65841635782,2.6299482953587225,372.68285724327853,586.6872740660409,993.8228128748568,0.0,431.75753243500594,-36.337742745604274,996539.39241236,7523813.558629831,,4.0,,,6276.2513130707775,1491636.7953483602,-407.1355388088159,24.621993626190033,6499.857251537734,,,-709.6628496149051,-9.8434131489757
2020-06-01,6694.648013475818,4.463098675650545,6241.060018930219,65.8345238287,2.6457379394990546,383.60205665824697,894.1352989903875,1055.4512879435238,0.0,572.4980030213977,-46.382457592272466,868952.7176237201,7604127.203700861,,4.4,,,5899.732191815758,1775516.64086172,-161.3159889531363,411.1820140682614,6694.648013475818,,,194.79076193808396,2.9968467675501653
2020-07-01,7095.831822594811,4.73055454839654,6600.583277571981,67.62287605337,6.40056271903575,425.58277158828054,1085.021074654558,1293.6943139058217,0.0,702.08852611799,-18.13110110496088,878831.80684588,7717772.247006364,,5.0,,,5899.732191815758,1775516.64086172,-208.67323925126357,493.41528686672655,7095.831822594811,,,401.18380911899294,5.992604963120396
2020-08-01,7430.083006707859,4.953388671138573,6934.378154304188,67.90235095281,2.672858479221796,423.8456506982248,947.2286171577184,1289.0880100856452,0.0,664.4567732301396,-43.67157340234615,879828.42320082,7858435.8697138205,,6.3,,,5899.732191815758,1775516.64086172,-341.8593929279268,322.59738030221274,7430.083006707859,,,334.2511841130481,4.710528553519455
2020-09-01,6666.320938200717,4.444213958800478,6188.892442954664,67.35967195287,2.6534402492217675,406.18689604818616,1000.0421286057492,1524.8849953792833,0.0,702.6503317634936,-41.85937830323985,891389.35956982,8027070.18605123,,4.8,,,4856.153674384205,1911071.23460182,-524.8428667735341,177.8074649899595,6666.320938200717,,,-763.7620685071415,-10.279320807285997
2020-10-01,5855.74394110227,3.903829294068179,5379.255426028151,67.55444298724001,6.333327135508758,402.2603351282228,854.2753709427261,1362.7803874142037,0.0,630.7136177195367,20.900537539186516,928387.57977003,8166460.981770441,,4.1,,,4856.153674384205,1911071.23460182,-508.5050164714776,122.20860124805904,5855.74394110227,,,-810.5769970984475,-12.159285528146613
2020-11-01,5555.275602812615,3.703517068541744,5101.119316154276,68.43737310619001,2.582634335089562,382.73737945816424,783.6559445593846,1383.7005110189446,0.0,611.6708594744056,-15.114373162465776,936256.74066984,8264614.33337825,,4.0,,,4856.153674384205,1911071.23460182,-600.04456645956,11.626293014845714,5555.275602812615,,,-300.46833828965464,-5.131172764926184
2020-12-01,5664.265569350756,3.7761770462338378,5185.147154450685,68.92453996857,2.603506028406858,408.8878874695427,964.4508442734063,1526.64703331917,0.5282332650000001,812.7378063911985,-16.495368014839716,964439.73323794,8495788.28876337,,4.2,,,4446.663995049526,2198264.83208594,-562.1961890457637,251.06985061043474,5664.265569350756,,,108.98996653814083,1.9619182616783082
