date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m
2015-01-01,7252.429999999999,920.4476963793944,1681.638791031421,523.519712878593,258.96368285999995
2015-02-01,7420.4554996301695,907.2515049439392,1529.5265400541437,511.6433953413521,274.3693088099999
2015-03-01,6819.545505227352,1068.1060192583625,1580.9272446218558,644.2602425886938,260.29789791
2015-04-01,7454.631473478869,716.9613847423697,1490.4509529838303,585.9398490044716,202.56367797
2015-05-01,6845.77,886.0799616559248,1585.454308617008,537.735348282721,188.16409989
2015-06-01,7525.485379478358,945.5608430207932,1678.7413939501655,629.565391314044,191.37616047
2015-07-01,6808.550649772876,937.1303438840304,1533.8807808781642,599.2998373972191,291.37930764
2015-08-01,6457.719028229418,802.1047080460835,1523.3760244315254,566.0370747735901,276.14108009999995
2015-09-01,6783.679258500682,853.1930077327272,1582.7227992084577,584.176236722284,237.62950134
2015-10-01,6480.684974502037,850.7400210189741,1638.2704551726467,605.1425603891124,219.2421948
2015-11-01,7281.211071319568,838.4221305919958,1464.8793205654338,574.464192736019,238.91067926999995
2015-12-01,7303.637753940239,820.500899422696,1644.7273874133791,618.5176333174204,341.61540474
2016-01-01,6294.321468539339,898.5946185751349,1589.1274650552757,563.4316940355515,333.3145392
2016-02-01,6573.369087438172,891.5970221812355,1439.3103148514124,554.1924570180978,339.17688108
2016-03-01,6221.186356293166,949.011635083698,1566.028121829301,675.7404718166489,330.84573324
2016-04-01,6068.525257617199,710.3897803653814,1460.8906891889208,578.0044486161236,233.95667988
2016-05-01,5645.141094794298,780.1272098015405,1589.8369421072923,597.2366386830122,214.53048816
2016-06-01,5292.27,900.5619459385096,1675.802035776332,644.480992933533,202.51071431999995
2016-07-01,6489.187703676498,891.5439655383419,1432.798930567194,572.7679136535048,359.17094963999995
2016-08-01,6598.941049091874,866.3099109246001,1649.0886004680874,618.2873505229056,319.60314432
2016-09-01,6455.718499925342,897.8775700778094,1508.2611045601425,577.8753625923472,254.77082436
2016-10-01,6053.842609846051,855.0431213174927,1723.5223677947777,607.532058283979,258.0648531599999
2016-11-01,5644.133101910387,809.6505412056308,1732.0802257051048,567.3784015429475,286.88417387999993
2016-12-01,6019.035611001512,859.0316990634382,1816.0953106251125,684.6037351582894,385.66043124
2017-01-01,5453.161533649116,864.7176173932837,1798.9439527053685,670.2874237389387,406.80882336
2017-02-01,5634.658678738561,867.8069877581088,1611.159888432676,598.086845291198,366.300411942
2017-03-01,5117.259154753076,1041.818219027803,1869.3224849354765,643.058386094087,348.791831976
2017-04-01,5048.0818935876005,794.6621201873861,1603.8822114429377,487.94389290657216,297.185936974
2017-05-01,6759.704093553758,841.2448575017796,1724.7493989305217,600.7025576092499,226.050028666
2017-06-01,6959.025226455214,987.3032456286518,1540.9314766078398,590.8851105181104,228.757636626
2017-07-01,6710.485696665525,1015.1819586445046,1591.1295797476996,629.2901463776334,381.071711532
2017-08-01,7693.548007249217,1000.642691482216,1856.9005983045893,599.8838418158387,354.08094012799995
2017-09-01,7279.835590729757,1011.0255494559292,1666.6539924369974,537.7758451288071,269.04906850199995
2017-10-01,7500.7921236637585,975.579814448642,1727.2388159062466,546.2579003477305,282.68354365399995
2017-11-01,7335.117235752753,940.93201101918,1940.383346169578,588.3876285496235,310.653504786
2017-12-01,7958.65303040954,1019.5029136734678,2048.499456865169,671.3964371688033,453.498369936
2018-01-01,7669.98,965.3701425744972,2014.4907176540169,729.3548966460536,448.4699049600001
2018-02-01,7922.369345490189,915.650345321389,1977.993103576892,571.5002263413448,442.26441072000006
2018-03-01,7319.749709742925,1107.6632607514034,1978.5218342628232,677.6961157626178,438.06734928
2018-04-01,9935.768813397091,795.0546716824356,1793.6278037230777,541.1780994671594,338.67245016000004
2018-05-01,8808.916585622243,923.7576297403432,1856.95795512956,580.4019949922705,243.01286064
2018-06-01,9267.017122111823,1024.3682844569344,1819.4798365092515,523.6405184273614,275.6020291200001
2018-07-01,8429.671933126869,1073.1643006891263,1754.4651588528998,619.2971944301521,408.87374616000005
2018-08-01,8584.53782202296,1037.3606140149984,1887.11736795169,534.1970182243219,376.0818573600001
2018-09-01,7164.0793420685,1055.2146080861978,1768.4101377475615,499.5686117071165,279.84226248000004
2018-10-01,7903.305318148267,979.096089464566,1882.473484503176,599.092454277415,287.41799592
2018-11-01,7005.322478512801,979.5512009150912,1764.6054092036552,555.0423235268939,367.11523728
2018-12-01,6919.216639148527,1033.3831084516703,1734.5814769958135,584.450098589887,475.20833976000006
2019-01-01,6152.196208752774,1038.1468507890256,1655.458756514842,545.3254992794382,460.339713288
2019-02-01,6035.155009941658,981.119883809676,1432.39631128465,500.492162671479,475.029782136
2019-03-01,7629.241941007436,1136.862305459054,1729.043562407311,571.431009617002,460.507459776
2019-04-01,7213.972057497156,798.1056022403444,1595.57292195424,553.6920420435212,314.7131442
2019-05-01,6722.612629789063,961.0197730366248,1783.6946109147184,562.1201492822893,71.248907184
2019-06-01,8864.984523119312,1083.954426800322,1399.8439347672734,536.6275845682627,118.877601024
2019-07-01,8347.063830786541,998.5344346682732,1715.9194214006632,625.6805908103535,218.072319192
2019-08-01,8523.712277937197,1032.5052702891876,1573.6060230957069,518.2479690698589,270.631628904
2019-09-01,7635.331963594275,953.7545302038528,1710.5377216240204,516.2660983194008,204.6412914
2019-10-01,7780.083013603978,977.2802613026088,1815.72509139126,607.0442233570847,223.805856456
2019-11-01,7520.452982431865,978.7856206740918,1741.0910335719382,515.26123914573,333.578027328
2019-12-01,7642.393000751939,999.9429518693604,1784.1899823205383,665.0234761837822,455.484489096
2020-01-01,7512.733529432759,1004.8850926174435,1735.327088426726,580.9276408043164,307.03928157
2020-02-01,7941.515070351391,988.5170201257566,1562.32383699017,527.32246625236,278.911196235
2020-03-01,7533.736569408685,656.2184495098973,1205.0492034876245,492.0915681614186,95.92877384999998
2020-04-01,7209.520101152639,282.3103443550165,1122.60696271443,375.0192363972781,0.0
2020-05-01,6499.857251537734,586.6872740660409,993.8228128748568,431.75753243500594,0.0
2020-06-01,6694.648013475818,894.1352989903875,1055.4512879435238,572.4980030213977,0.0
2020-07-01,7095.831822594811,1085.021074654558,1293.6943139058217,702.08852611799,0.0
2020-08-01,7430.083006707859,947.2286171577184,1289.0880100856452,664.4567732301396,0.0
2020-09-01,6666.320938200717,1000.0421286057492,1524.8849953792833,702.6503317634936,0.0
2020-10-01,5855.74394110227,854.2753709427261,1362.7803874142037,630.7136177195367,0.0
2020-11-01,5555.275602812615,783.6559445593846,1383.7005110189446,611.6708594744056,0.0
2020-12-01,5664.265569350756,964.4508442734063,1526.64703331917,812.7378063911985,0.5282332650000001
2021-01-01,4841.863004371764,936.6622814854384,1591.5901970507057,675.3390054353866,4.3837293200000005
2021-02-01,4582.993424023525,951.724574048446,1523.603972592037,579.6821699858931,8.77267116
2021-03-01,4055.2,1093.7738520883445,1925.9318375289247,612.039426055064,11.939277059999997
