date,usd_lkr,m2_usd_m,scenario
2025-07-01,300.06057026216376,44005.10782133916,Oil Price Shock
2025-08-01,300.076047568557,44005.10782133916,Oil Price Shock
2025-09-01,300.0786924434582,44005.10782133916,Oil Price Shock
2025-10-01,300.07914441895474,44005.10782133916,Oil Price Shock
2025-11-01,300.0792216558212,44005.10782133916,Oil Price Shock
2025-12-01,300.07923485461976,44005.10782133916,Oil Price Shock
2026-01-01,300.07923711012666,44005.10782133916,Oil Price Shock
2026-02-01,300.0792374955641,44005.10782133916,Oil Price Shock
2026-03-01,300.07923756143043,44005.10782133916,Oil Price Shock
2026-04-01,300.07923757268617,44005.10782133916,Oil Price Shock
2026-05-01,300.07923757460964,44005.10782133916,Oil Price Shock
2026-06-01,300.0792375749383,44005.10782133916,Oil Price Shock
2025-07-01,300.06057026216376,44005.10782133916,IMF Tranche Delay
2025-08-01,302.25841882360106,44005.10782133916,IMF Tranche Delay
2025-09-01,304.44347342445394,44005.10782133916,IMF Tranche Delay
2025-10-01,306.6263257517319,44005.10782133916,IMF Tranche Delay
2025-11-01,308.80879901308145,44005.10782133916,IMF Tranche Delay
2025-12-01,310.99120703115136,44005.10782133916,IMF Tranche Delay
2026-01-01,313.17360382038675,44005.10782133916,IMF Tranche Delay
2026-02-01,315.3559986771565,44005.10782133916,IMF Tranche Delay
2026-03-01,317.53839320136825,44005.10782133916,IMF Tranche Delay
2026-04-01,319.7207876683529,44005.10782133916,IMF Tranche Delay
2026-05-01,321.90318212549033,44005.10782133916,IMF Tranche Delay
2026-06-01,324.0855765809334,44005.10782133916,IMF Tranche Delay
2025-07-01,300.06057026216376,44005.10782133916,Combined Adverse
2025-08-01,304.1679936717646,44005.10782133916,Combined Adverse
2025-09-01,308.2626567828252,44005.10782133916,Combined Adverse
2025-10-01,312.35510941791193,44005.10782133916,Combined Adverse
2025-11-01,316.4471792006841,44005.10782133916,Combined Adverse
2025-12-01,320.53918268561654,44005.10782133916,Combined Adverse
2026-01-01,324.63117469186426,44005.10782133916,Combined Adverse
2026-02-01,328.7231647110498,44005.10782133916,Combined Adverse
2026-03-01,332.81515438631374,44005.10782133916,Combined Adverse
2026-04-01,336.9071440020612,44005.10782133916,Combined Adverse
2026-05-01,340.9991336075109,44005.10782133916,Combined Adverse
2026-06-01,345.091123211179,44005.10782133916,Combined Adverse
2025-07-01,300.06057026216376,44005.10782133916,Combined Upside
2025-08-01,298.7120655341545,44005.10782133916,Combined Upside
2025-09-01,297.3507043303358,44005.10782133916,Combined Upside
2025-10-01,295.987156085969,44005.10782133916,Combined Upside
2025-11-01,294.62323580753355,44005.10782133916,Combined Upside
2025-12-01,293.2592522442875,44005.10782133916,Combined Upside
2026-01-01,291.89525791621406,44005.10782133916,Combined Upside
2026-02-01,290.5312617570689,44005.10782133916,Combined Upside
2026-03-01,289.16726528646933,44005.10782133916,Combined Upside
2026-04-01,287.80326876289445,44005.10782133916,Combined Upside
2026-05-01,286.4392722303092,44005.10782133916,Combined Upside
2026-06-01,285.0752756961914,44005.10782133916,Combined Upside
