date,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,m2_usd_m,trade_balance_usd_m,scenario
2025-05-01,1202.170154353121,1616.636151547787,660.3999436384881,296.51876172043654,44002.26989072835,-390.1692807762859,Oil Price Shock
2025-06-01,1197.1530874660186,1624.2811475348994,654.3213683839541,296.5229181746262,44002.26982654886,-381.82006331389005,Oil Price Shock
2025-07-01,1198.6503467481643,1651.9823463138143,656.4320221078998,296.5236236648866,44002.26982685334,-372.4712288710412,Oil Price Shock
2025-08-01,1198.2035148823713,1670.951471221731,655.6991432743141,296.52374341034385,44002.269826851894,-363.47830255131674,Oil Price Shock
2025-09-01,1198.33686434206,1693.7217089839883,655.9536195906442,296.5237637351808,44002.2698268519,-354.3587308033846,Oil Price Shock
2025-10-01,1198.2970684372453,1714.8375839828154,655.8652581963656,296.52376718499016,44002.2698268519,-345.28419671653444,Oil Price Shock
2025-11-01,1198.3089448561204,1736.6733706615546,655.8959397784927,296.523767770539,44002.2698268519,-336.1936566148231,Oil Price Shock
2025-12-01,1198.3054005385343,1758.195931210585,655.8852862630123,296.52376786992636,44002.2698268519,-327.1088010747874,Oil Price Shock
2026-01-01,1198.3064582805425,1779.8547518816688,655.8889854657334,296.5237678867957,44002.2698268519,-318.0219280919036,Oil Price Shock
2026-02-01,1198.3061426152194,1801.4543055100821,655.8877009976349,296.52376788965904,44002.2698268519,-308.9357705581734,Oil Price Shock
2026-03-01,1198.3062368202293,1823.0796338043494,655.8881470013877,296.52376789014505,44002.2698268519,-299.849359505222,Oil Price Shock
2025-04-01,1185.3587974626935,1562.9334103168094,642.8939564147952,296.49427362697656,44002.256362788416,-401.3245033192926,IMF Tranche Delay
2025-05-01,1202.170154353121,1587.6381936724904,660.3999436384881,298.6752618056761,44002.26989072835,-399.2429849803856,IMF Tranche Delay
2025-06-01,1197.1530874660186,1566.7844697460532,654.3213683839541,300.83597880262084,44002.26982654886,-400.00197109074196,IMF Tranche Delay
2025-07-01,1198.6503467481643,1565.415585808287,656.4320221078998,302.9932299993932,44002.26982685334,-399.7252212274588,IMF Tranche Delay
2025-08-01,1198.2035148823713,1555.7134387236808,655.6991432743141,305.1498886731902,44002.269826851894,-399.8261328064484,IMF Tranche Delay
2025-09-01,1198.33686434206,1549.575180559819,655.9536195906442,307.30644605282373,44002.2698268519,-399.78933731663903,IMF Tranche Delay
2025-10-01,1198.2970684372453,1541.9127855979937,655.8652581963656,309.46298611669886,44002.2698268519,-399.80275409282933,IMF Tranche Delay
2025-11-01,1198.3089448561204,1534.902190667681,655.8959397784927,311.61952322067555,44002.2698268519,-399.79786192033015,IMF Tranche Delay
2025-12-01,1198.3054005385343,1527.6128582649346,655.8852862630123,313.7760598187221,44002.2698268519,-399.7996457580735,IMF Tranche Delay
2026-01-01,1198.3064582805425,1520.4427232673368,655.8889854657334,315.9325963302951,44002.2698268519,-399.79899531553593,IMF Tranche Delay
2026-02-01,1198.3061426152194,1513.221616628469,655.8877009976349,318.0891328270888,44002.2698268519,-399.7992324870479,IMF Tranche Delay
2026-03-01,1198.3062368202293,1506.0223061862018,655.8881470013877,320.2456693213567,44002.2698268519,-399.7991460069627,IMF Tranche Delay
2025-04-01,1185.3587974626935,1562.9334103168094,642.8939564147952,296.49427362697656,44002.256362788416,-401.3245033192926,Combined Adverse
2025-05-01,1191.2413347680927,1609.3866620789627,651.3944898615996,300.56219938026067,44002.26989072835,-399.2429849803856,Combined Adverse
2025-06-01,1175.3866676939092,1609.906978087688,636.4762401553008,304.60990685211607,44002.26982654886,-400.00197109074196,Combined Adverse
2025-07-01,1165.9598827459417,1630.3406561874328,629.5779848398494,308.65413554208646,44002.26982685334,-399.7252212274588,Combined Adverse
2025-08-01,1154.6324779775578,1642.1419630972186,619.9337354593515,312.6977657781808,44002.269826851894,-399.8261328064484,Combined Adverse
2025-09-01,1143.8670068719664,1657.685076877946,611.2295091640093,316.7412930807613,44002.2698268519,-399.78933731663903,Combined Adverse
2025-10-01,1132.9354101588501,1671.6063843866102,602.2035552530266,320.7848026819439,44002.2698268519,-399.80275409282933,Combined Adverse
2025-11-01,1122.0529210925492,1686.2305756630863,593.2876909814547,324.828309239545,44002.2698268519,-399.79786192033015,Combined Adverse
2025-12-01,1111.1559168630044,1700.5501629741725,584.3341641252291,328.87181527391834,44002.2698268519,-399.7996457580735,Combined Adverse
2026-01-01,1100.2632026030437,1715.001744728086,575.393519067666,332.91532121835695,44002.2698268519,-399.79899531553593,Combined Adverse
2026-02-01,1089.3692205592904,1729.3961332896793,566.4484690434119,336.9588271473398,44002.2698268519,-399.7992324870479,Combined Adverse
2026-03-01,1078.4756131382064,1743.8153018998128,557.5049249511795,341.00233307366676,44002.2698268519,-399.7991460069627,Combined Adverse
2025-04-01,1185.3587974626935,1562.9334103168094,642.8939564147952,296.49427362697656,44002.256362788416,-401.3245033192926,Combined Upside
2025-05-01,1213.0989739381494,1587.6381936724904,666.4035794897471,295.17094916716184,44002.26989072835,-399.2429849803856,Combined Upside
2025-06-01,1218.9195072381283,1566.7844697460532,666.2181205363897,293.8272552821296,44002.26982654886,-400.00197109074196,Combined Upside
2025-07-01,1231.3408107503872,1565.415585808287,674.3347136199335,292.48011970581996,44002.26982685334,-399.7252212274588,Combined Upside
2025-08-01,1241.774551787185,1555.7134387236808,679.5427484842892,291.1324026210649,44002.269826851894,-399.8261328064484,Combined Upside
2025-09-01,1252.8067218121535,1549.575180559819,685.7696932084007,289.78458728665396,44002.2698268519,-399.78933731663903,Combined Upside
2025-10-01,1263.6587267156408,1541.9127855979937,691.6397268252584,288.4367553526722,44002.2698268519,-399.80275409282933,Combined Upside
2025-11-01,1274.5649686196919,1534.902190667681,697.6347723098513,287.08892061420363,44002.2698268519,-399.79786192033015,Combined Upside
2025-12-01,1285.4548842140641,1527.6128582649346,703.5860343548677,285.741085401929,44002.2698268519,-399.7996457580735,Combined Upside
2026-01-01,1296.3497139580413,1520.4427232673368,709.5526297311116,284.39325010960863,44002.2698268519,-399.79899531553593,Combined Upside
2026-02-01,1307.2430646711487,1513.221616628469,715.5138556337836,283.0454148037654,44002.2698268519,-399.7992324870479,Combined Upside
2026-03-01,1318.1368605022524,1506.0223061862018,721.4769617015265,281.6975794956378,44002.2698268519,-399.7991460069627,Combined Upside
