date,horizon,ARIMA,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2024-07-01,1,1.3182567385509986e-12,1.3182567385509986e-12,0.9999999999934086,1.3182567385509986e-12,1.3182567385509986e-12,1.3182567385509986e-12
2024-08-01,1,1.3182567385514544e-12,1.3182567385514544e-12,0.9999999999934087,1.3182567385514544e-12,1.3182567385514544e-12,1.3182567385514544e-12
2024-09-01,1,1.3182567385521006e-12,1.324904128266282e-12,0.9999999999930663,1.3182567385521006e-12,1.3182567385521006e-12,1.6540280588235227e-12
2024-10-01,1,1.3182567385511038e-12,1.3182567385511038e-12,0.9999999999934087,1.3182567385511038e-12,1.3182567385511038e-12,1.3182567385511038e-12
2024-11-01,1,1.318256738551313e-12,1.318256738551313e-12,0.9999999999934087,1.318256738551313e-12,1.318256738551313e-12,1.318256738551313e-12
2024-12-01,1,1.3182567385500878e-12,1.3182567385500878e-12,0.9999999999934086,1.3182567385500878e-12,1.3182567385500878e-12,1.3182567385500878e-12
2025-01-01,1,1.3182567385502964e-12,4.566544038456307e-12,0.9999999999838876,3.66254775268073e-12,1.3182567385502964e-12,5.246912083724216e-12
2025-02-01,1,2.929303457729279e-12,3.0252163446800374e-11,0.9999999999035522,2.1636988428228995e-11,0.0,4.1629340414892156e-11
2025-03-01,1,4.607853728302816e-12,3.4504961805758584e-11,0.9999999998842629,2.951987751054069e-11,0.0,4.710438853786301e-11
2025-04-01,1,2.8173519547852288e-12,1.5821299249151114e-11,0.9999999999438974,1.6182454042805773e-11,0.0,2.1281388464621298e-11
2020-04-01,3,0.2,0.2,0.0,0.2,0.2,0.2
2020-05-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-06-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-07-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-08-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-09-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-10-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-11-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
