model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,varset,split_label,train_end,valid_end
DMS,validation,1,all,692.1538150097712,978.0167041710545,18.579389692034944,17.90402171373775,2.31887427565517,816.2795558778156,,,,,35,full,2020-02-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMS,validation,3,all,1009.6136570922447,1386.756422832311,28.578214271552515,25.18329639745768,3.3824376706618247,1130.5070408875813,,,,,33,full,2020-04-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMS,validation,6,all,1371.9947763296345,1776.6285120547298,46.22186046596637,37.40045155137154,4.596497663050727,1530.9193214395402,,,,,30,full,2020-07-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMS,validation,12,all,2610.6619727471852,2991.449782361022,102.28189352346016,62.432674147900194,8.746317306578979,2640.804984301448,,,,,24,full,2021-01-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VAR,test,1,all,230.34319753015643,311.7527123873274,5.198389638189099,5.4176609156162066,0.7717026241014026,408.41478249038164,186.63875348964342,-7.325030399410827,0.9722222222222222,1.0,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VAR,test,3,all,512.5904443203975,613.2560672447673,11.988508139090062,13.272782068796337,1.7172957361572059,956.6736217459248,357.72660063078416,-7.873974193543063,0.6388888888888888,0.9166666666666666,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VAR,test,6,all,895.701040568766,1091.6781567976598,20.76491189524258,25.079179269876605,3.0008042383226012,1738.638552757412,697.195755759213,-9.443485476431723,0.4444444444444444,0.5277777777777778,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VAR,test,12,all,1864.4417486083285,2151.067929145676,42.23345640275733,58.317963962183526,6.246308140690321,3703.975945121924,1614.6781928531375,-15.961075361673611,0.25,0.3055555555555556,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VAR,validation,1,all,504.3739025540329,701.3278980085158,17.405839773430618,20.424462598148896,1.689768433809533,753.7395219371721,384.8240959688924,-8.108010071188074,0.7142857142857143,0.8571428571428571,35,full,2020-02-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VAR,validation,3,all,818.9202608757339,1110.6206556945697,28.49463480400962,28.007747051175027,2.7435709889582163,1090.232696548076,658.5994338640539,-9.571378113954696,0.5151515151515151,0.6666666666666666,33,full,2020-04-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
