model,split,horizon,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n
MS-VECM,validation,3,924.5134132777692,1092.541716719148,25.7115661709259,20.698648217585404,2.224635421100727,954.3127773933255,692.8429654641848,-8.900975013958107,0.38095238095238093,0.6666666666666666,21
MS-VECM,validation,6,1668.1128364087347,1810.9966596483384,48.910692834606614,35.74576146166289,4.013941657277745,1668.1128364087347,1339.2932827508766,-11.607582548986517,0.1111111111111111,0.2222222222222222,18
MS-VECM,validation,12,3578.471662097305,3613.875455209254,115.84521893330451,70.18264089534476,8.610794282240493,3578.471662097305,3225.9194667535726,-24.07968344716947,0.0,0.0,12
Naive,test,1,1158.3,1295.7687679520602,19.59153602465402,22.226162026896805,2.787190722441986,2316.6,875.858884483377,-9.428262340891125,0.2,0.6,10
Naive,test,3,1386.875,1439.3703050292513,23.253693510691917,26.489419826585426,3.3372055021900455,2773.75,1041.2973281136733,-9.907184199516434,0.0,0.5,8
Naive,test,6,1609.6,1639.957926289574,26.166518784541744,30.215919803298636,3.8731435611176903,3219.2,1253.8953344203953,-10.660342503584763,0.0,0.2,5
Naive,test,12,,,,,,,,,,,0
Naive,validation,1,1220.5218895966404,1512.1070757425653,36.61127330456262,26.293157027017,2.936913828214727,1240.077740939882,971.7146196273148,-10.340651804629683,0.391304347826087,0.5652173913043478,23
Naive,validation,3,1569.7123776166745,1854.93585960917,45.73914166295855,32.56942172120968,3.777162890266379,1569.7123776166745,1282.9264021252384,-11.824279851935326,0.23809523809523808,0.42857142857142855,21
Naive,validation,6,2157.91090461117,2384.5615631736164,62.23704220229289,43.37877963578889,5.192531514451046,2157.91090461117,1844.6728764244808,-14.709078709760844,0.1111111111111111,0.16666666666666666,18
Naive,validation,12,4004.8949281282926,4120.14765036541,137.05646634835418,74.90432849419442,9.636886806556282,4004.8949281282926,3652.3426683105668,-29.09342626990454,0.0,0.0,12
VECM,test,1,1355.843127585922,1475.0147106459563,23.124485192374163,26.63989643098646,3.262534219368219,2711.686255171844,1055.9034217780368,-10.288327074407068,0.2,0.4,10
VECM,test,3,1632.6776186482393,1677.498380270421,27.44952160380853,31.98553219411975,3.9286747055469635,3265.3552372964787,1294.9178651999014,-11.15753238394983,0.0,0.125,8
VECM,test,6,1902.212502233962,1927.968423925867,30.971812309252478,36.75212773607786,4.577250313683549,3804.425004467924,1561.264107323804,-12.387214230478975,0.0,0.0,5
VECM,test,12,,,,,,,,,,,0
VECM,validation,1,1294.840129876617,1584.823033106042,38.92127738989622,27.673555952683905,3.115744105186639,1312.672218941076,1049.9837950217027,-11.146161397187123,0.30434782608695654,0.5652173913043478,23
VECM,validation,3,1624.83772148287,1902.9454491080726,47.300841955284845,33.49781194678387,3.909809740819158,1624.83772148287,1349.3404636724822,-12.84836346915381,0.19047619047619047,0.42857142857142855,21
VECM,validation,6,2205.9790338892335,2428.174121030162,63.31608026517169,44.02904893272617,5.308196751409485,2205.9790338892335,1911.4905259183874,-16.339240231516193,0.1111111111111111,0.16666666666666666,18
VECM,validation,12,4107.601379619405,4220.050043460993,140.29726124228674,76.04696344320823,9.884026985034195,4107.601379619405,3785.4538370851337,-34.57781970036773,0.0,0.0,12
XGBoost,test,1,468.742578125,647.9649906482284,8.700501558913928,9.226684493640368,1.1279245143430354,802.0560546875,466.38864872280556,-10297.852907119146,0.1,0.1,10
XGBoost,test,3,768.2042541503906,1078.3376345532668,13.783848947026057,16.064786997967687,1.8485122767058917,1526.179443359375,765.6566181965967,-28515.942997165384,0.0,0.0,8
XGBoost,test,6,1493.185693359375,1608.793067076428,24.872907229541905,29.23378006261668,3.593018485206211,2986.37138671875,1490.6380452719332,-63468.49968078152,0.0,0.0,5
XGBoost,test,12,,,,,,,,,,,0
XGBoost,validation,1,1844.7998117224122,2357.4347665576915,59.99118956011349,36.53266295034576,4.4390994733621945,1894.84482773998,1843.5993336617312,-391300.57198357774,0.0,0.0,23
XGBoost,validation,3,2238.9767287577824,2718.1952568964466,72.00444885337498,42.976915929235574,5.3875983477140625,2250.8655439758413,2237.815040236516,-631911.2076645263,0.0,0.0,21
XGBoost,validation,6,2796.5677874314997,3244.505051414278,91.07010561468417,52.012621617512124,6.729316922912189,2830.1752519680167,2795.4804455274434,-1143999.7807240668,0.0,0.0,18
XGBoost,validation,12,3568.3840956356376,3756.7082402117894,121.16570670557587,69.34327763746073,8.586520802439079,3568.3840956356376,3567.5569668918156,-3283137.048585503,0.0,0.0,12
