model,split,horizon,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n
BoPIdentity,test,3,827.2640195950676,1006.2646844163021,18.34600869061795,20.77353201184233,2.4349070351256454,1557.9215498103601,,,,,27
BoPIdentity,test,6,905.2661923890794,1169.6248747768423,20.31708857848016,21.472579520523162,2.6644927958894127,1435.706705151624,,,,,27
BoPIdentity,test,12,2177.874435587273,2734.671306950086,58.24501751865547,61.60969014139172,6.410192706588933,3553.792898758734,,,,,27
BoPIdentity,validation,1,997.6249185508722,1292.5332980691755,33.57022192969112,25.474802197411858,2.9363345619517993,1016.6730270806461,,,,,35
BoPIdentity,validation,3,1441.0928237176367,1772.9879619446654,45.684182679300825,35.804676490006095,4.241604822190524,1544.4307050164157,,,,,33
BoPIdentity,validation,6,2101.2064699264606,2579.3324776192526,67.02421036584624,60.146719457371084,6.184533951301037,2365.5683426379055,,,,,30
BoPIdentity,validation,12,3894.513932401677,4828.403482140856,142.6405931348463,82.20751061769734,11.462820995214264,4196.952333499797,,,,,24
LSTM,test,1,412.56332932540545,479.72999883587414,9.863860820998886,9.562934494302112,1.2143080433994953,635.1723482607413,,,,,27
LSTM,test,3,594.3619769046742,713.8887732290117,14.192309610591217,13.622793202068205,1.7494005839692708,1001.4834892854835,,,,,27
LSTM,test,6,872.6018347518068,1057.3120812106795,22.36414557447546,20.243217793036642,2.568350968945475,1431.9995474184198,,,,,27
LSTM,test,12,1550.8401380010791,1742.2467191456267,42.25322172661222,34.31700661453896,4.56462685784693,2192.3375936777093,,,,,27
LSTM,validation,1,1219.6616127619525,1413.0834615809888,47.34898143935066,34.479722257136864,3.5898607591327614,1292.047033567727,,,,,35
LSTM,validation,3,1828.5855044775894,2045.965717947089,70.52053936078575,47.16796565573474,5.382121793911278,1915.5862890467554,,,,,33
LSTM,validation,6,2603.954650106894,2894.407030126045,107.82312969228794,62.52210959099412,7.6642853387929675,2646.3912620425294,,,,,30
LSTM,validation,12,4026.580905700655,4289.041111738919,183.08164938859323,87.39983973958935,11.85153704568487,4026.580905700655,,,,,24
LocalLevelSV,test,1,1244.0907253074956,1409.959944418618,27.844378988306044,33.99567094652468,3.661763581678017,2474.8703842788445,1008.8340200811442,-10.9490598076958,0.25925925925925924,0.3333333333333333,27
LocalLevelSV,test,3,1530.5351697519404,1661.8926156812872,33.086396598735575,41.11038640817283,4.50486273313372,3038.622532529672,1166.182708951419,-10.011166318408252,0.14814814814814814,0.3333333333333333,27
LocalLevelSV,test,6,1747.1672810341322,1964.2077124875107,36.444147745565544,46.85191808041492,5.142481485189832,3471.886755094055,1298.7116887390089,-9.7546411306483,0.25925925925925924,0.6296296296296297,27
LocalLevelSV,test,12,2180.431503598516,2569.3042194748696,42.58351399283788,57.95128460012571,6.417718989302059,4338.415200222822,1635.2756107093594,-9.896646909236328,0.48148148148148145,0.6296296296296297,27
LocalLevelSV,validation,1,1142.9446535139587,1433.6889071751107,40.071015216585124,29.598009492652903,3.3640577997851246,1154.2749468917693,913.2239339543261,-11.061370730816694,0.42857142857142855,0.6285714285714286,35
LocalLevelSV,validation,3,1507.2455511514613,1813.1570597203408,53.30662766703684,37.58765762872194,4.4363138118311145,1507.2455511514613,1178.5206991780947,-10.513636241389248,0.45454545454545453,0.5454545454545454,33
LocalLevelSV,validation,6,2090.7997457236315,2363.9610797749187,77.4126179207892,50.54833060482409,6.153903577715487,2090.7997457236315,1639.1547289309003,-10.67199236702398,0.3,0.43333333333333335,30
LocalLevelSV,validation,12,3589.718370315292,3684.433022442555,152.8206089313005,82.94427769237892,10.56570853677266,3589.718370315292,2833.6847206702096,-11.872246522187078,0.0,0.041666666666666664,24
MS-VAR,test,1,218.28169305684952,315.24487674590387,5.15766261271038,5.478484936976179,0.6424740076613246,409.6054073664217,191.16594064929888,-7.374133069624112,0.9259259259259259,1.0,27
MS-VAR,test,3,579.4074777878523,679.540118158199,14.037530865990336,15.703333082217206,1.7053846298798454,1116.4878932987194,404.1084186404151,-8.002175046638639,0.5925925925925926,0.9259259259259259,27
MS-VAR,test,6,1015.6908095762965,1150.6609304679257,23.713177946994897,28.334029075291006,2.9895083542498746,2029.949808660665,772.7657808125272,-9.456630591475232,0.25925925925925924,0.5925925925925926,27
MS-VAR,test,12,1911.3578314319643,2050.3984396418887,40.8176559550164,53.194828201376055,5.625747669618503,3815.4393899310994,1630.4242650152364,-14.293378727248289,0.07407407407407407,0.14814814814814814,27
MS-VAR,validation,1,370.8404648791057,513.725953777221,11.357730970478096,10.861334937463733,1.0915040850989564,473.30802535134455,282.1429534756004,-7.674233139268075,0.8571428571428571,0.9428571428571428,35
MS-VAR,validation,3,691.2343523034882,913.6793456897451,20.765714809895822,17.581107338148776,2.0345274875705686,753.8590498312799,534.9095370108055,-8.657986928491994,0.6363636363636364,0.7878787878787878,33
MS-VAR,validation,6,1175.262053870719,1419.3481299177029,38.61149865881818,29.77052663329436,3.459178418622343,1182.5495645564517,940.1309632745496,-10.69422343443457,0.26666666666666666,0.5333333333333333,30
