model,split,horizon,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n
BVAR,validation,12,3650.039210321715,3761.744548754802,154.01065354036223,83.43087592261573,12.228469808879474,3650.039210321715,2859.8359552433944,-11.715887780437994,0.0,0.08333333333333333,24
Naive,test,1,935.851255853071,1178.9472483420434,20.469342901823072,24.702506698324086,3.135316682472718,1864.1568114086267,761.484488425461,-9.881838123669574,0.4444444444444444,0.5277777777777778,36
Naive,test,3,1149.5179225197378,1393.246114490467,24.45020384914115,30.04592905487524,3.851149097398188,2287.527777777778,950.4679424665733,-10.969814561804505,0.3333333333333333,0.4166666666666667,36
Naive,test,6,1458.130821627191,1737.3507013334627,29.528141662723296,37.36940139805927,4.885073201198056,2904.753575992684,1238.0416338197026,-13.07510835501349,0.25,0.2777777777777778,36
Naive,test,12,2073.634397619875,2373.677795470018,39.089980503864865,51.6830465925767,6.9471515687398915,4136.621839089164,1809.591802208268,-18.153005496704502,0.1111111111111111,0.1111111111111111,36
Naive,validation,1,1029.3448030071818,1328.0723215695268,35.694347746002094,26.73888522198556,3.4485415419389054,1042.1957910327405,821.9659196694427,-10.690235890502956,0.5142857142857142,0.6571428571428571,35
Naive,validation,3,1390.2866715697337,1707.013215800357,48.61986885022182,34.831498742895796,4.657779713955331,1390.2866715697337,1152.4590856499628,-13.017529583601481,0.3939393939393939,0.5151515151515151,33
Naive,validation,6,1973.2849965278563,2253.189563182109,72.20971611557052,48.05586342431016,6.6109580237163765,1973.2849965278563,1719.651329170644,-17.396245151706747,0.26666666666666666,0.3,30
Naive,validation,12,3470.6749796808904,3580.471989534998,146.85603494186387,81.09745706488623,11.627558434288817,3470.6749796808904,3190.230644024878,-33.11676095198656,0.0,0.0,24
VECM,test,1,956.8061834190105,1194.5289114704553,21.642132461299944,26.192983508917564,3.205520503396812,1892.3366781255863,782.3888174252925,-10.295799669976427,0.3611111111111111,0.5277777777777778,36
VECM,test,3,1160.8433536540085,1404.6477989717114,25.56640417407309,31.444841752444614,3.8890918932745553,2284.4291272506566,967.2705604943278,-11.528629039371264,0.2777777777777778,0.4166666666666667,36
VECM,test,6,1437.256933170417,1751.4640473027482,29.520587303422978,37.714212595511675,4.815140879905244,2843.652972983847,1237.090907756905,-13.991103827652884,0.25,0.3055555555555556,36
