date,gross_reserves_usd_m,usd_lkr,m2_usd_m
2009-12-01,5354.0,114.2836,13446.85522118484
2010-01-01,5507.0,114.3589,13569.071304040262
2010-02-01,5661.0,114.5079,13670.557227909252
2010-03-01,5814.0,114.1039,14030.756462793908
2010-04-01,5968.0,113.8286,14085.29601963127
2010-05-01,6121.0,113.7025,14267.973452457773
2010-06-01,6274.0,113.5605,14423.118488465618
2010-07-01,6428.0,112.9571,14615.879441122339
2010-08-01,6581.0,112.3968,14940.013857020751
2010-09-01,6735.0,112.3029,15306.721968277669
2010-10-01,6888.0,111.667,15603.153292923334
2010-11-01,7042.0,111.5155,15814.608210353272
2010-12-01,7195.0,111.0081,16332.139991189111
2011-01-01,7157.0,110.82,16531.61465709159
2011-02-01,7119.0,110.8074,16813.782781860416
2011-03-01,7081.0,110.3022,17223.63151725877
2011-04-01,7043.0,110.2129,17563.70547162773
2011-05-01,7005.0,109.7629,17829.925977978903
2011-06-01,6967.0,109.5391,18189.43754369764
2011-07-01,6929.0,109.457,18509.05024117297
2011-08-01,6891.0,109.7139,18770.759608400673
2011-09-01,6853.0,110.0529,19001.105175712408
2011-10-01,6815.0,110.0875,19227.052935383945
2011-11-01,6777.0,111.2205,19238.611308809617
2011-12-01,6739.0,113.8067,19266.028120572955
2012-01-01,6770.0,113.8195,19478.083993528086
2012-02-01,6800.0,117.281,19361.362266778506
2012-03-01,6831.0,125.6605,18471.767113898164
2012-04-01,6862.0,128.4248,18325.78454109938
2012-05-01,6892.0,129.0045,18227.037639482885
2012-06-01,6923.0,131.8519,18060.739994079646
2012-07-01,6953.0,132.4848,18192.52591579955
2012-08-01,6984.0,131.9896,18481.58371726371
2012-09-01,7015.0,131.5105,18667.78346054908
2012-10-01,7045.0,129.0859,19082.762512370446
2012-11-01,7076.0,130.234,19425.354064219173
2012-12-01,7106.0,128.036,20253.560385226734
2013-01-01,7139.0,126.72,20733.85357204861
2013-02-01,7172.0,126.7342,21211.554534758576
2013-03-01,7205.0,126.7005,21700.32512314474
2013-04-01,7238.0,125.9673,22135.407103264104
2013-05-01,7270.0,126.2432,22174.796196951593
2013-06-01,7303.0,127.9125,22232.66116467898
2013-07-01,7336.0,131.1345,21928.70719307276
2013-08-01,7369.0,131.9682,21849.883203286852
2013-09-01,7402.0,132.3465,22193.320968775148
2013-10-01,7434.0,130.9955,22920.08054978988
2013-11-01,7005.112547885943,131.0895,22867.89656257748
2013-12-01,7495.272121523254,130.7643,23391.650736424242
2014-01-01,8048.583905345139,130.6857,23679.483143817575
2014-02-01,8259.552166921556,130.7968,23855.634380068932
2014-03-01,8059.724448730886,130.5857,24243.161839573553
2014-04-01,8896.731082422368,130.5936,24312.971778609364
2014-05-01,8772.663840758212,130.3833,24380.216159807278
2014-06-01,9164.004705013178,130.2714,24673.99922261525
2014-07-01,8973.741181262614,130.2123,24810.281695715385
2014-08-01,9185.637359336446,130.1748,25042.053096928128
2014-09-01,8821.804336421244,130.2562,25463.355468185007
2014-10-01,8790.920103836674,130.5618,25668.060464102058
2014-11-01,8330.88205481358,130.9278,25957.428796466455
2014-12-01,8208.41,131.0786,26400.631408406865
2015-01-01,7252.429999999999,131.6075,26347.70569299622
2015-02-01,7420.4554996301695,132.7221,26314.824361112427
2015-03-01,6819.545505227352,132.95,26729.06404865739
2015-04-01,7454.631473478869,132.9227,27033.79829454262
2015-05-01,6845.77,133.46,27283.613290753783
2015-06-01,7525.485379478358,133.9382,27456.52663729989
2015-07-01,6808.550649772876,133.6818,27918.816620646936
2015-08-01,6457.719028229418,133.8519,28269.08093725976
2015-09-01,6783.679258500682,139.2329,27448.99671744968
2015-10-01,6480.684974502037,140.851,27448.99671744968
2015-11-01,7281.211071319568,141.9637,27793.906925911346
2015-12-01,7303.637753940239,143.335,28305.801965549235
2016-01-01,6294.321468539339,143.5505,28581.9389870812
2016-02-01,6573.369087438172,143.639,28950.4209315548
2016-03-01,6221.186356293166,145.1335,28982.963368333298
2016-04-01,6068.525257617199,145.2019,29214.915226336092
2016-05-01,5645.141094794298,145.9081,29066.809874420953
2016-06-01,5292.27,145.8609,29552.007183939837
