date,regime_0_prob,regime_1_prob,most_likely_regime,max_probability,split
2014-10-01,1.1239034529523289e-06,0.999998876096547,1,0.999998876096547,train
2014-11-01,4.347865063486051e-13,0.9999999999995651,1,0.9999999999995651,train
2014-12-01,2.06808450208749e-15,0.999999999999998,1,0.999999999999998,train
2015-01-01,4.467394660078041e-48,1.0,1,1.0,train
2015-02-01,2.2320085893241018e-32,1.0,1,1.0,train
2015-03-01,1.1044425734763805e-35,1.0,1,1.0,train
2015-04-01,2.0209571661688473e-43,1.0,1,1.0,train
2015-05-01,1.2739175046939294e-44,1.0,1,1.0,train
2015-06-01,3.517820952198636e-42,1.0,1,1.0,train
2015-07-01,7.019125510304385e-75,1.0,1,1.0,train
2015-08-01,2.4595874777920342e-09,0.9999999975404126,1,0.9999999975404126,train
2015-09-01,2.479582743121698e-15,0.9999999999999976,1,0.9999999999999976,train
2015-10-01,1.517725814813701e-17,1.0,1,1.0,train
2015-11-01,3.305715478484268e-44,1.0,1,1.0,train
2015-12-01,9.96254774081543e-19,1.0,1,1.0,train
2016-01-01,1.9389774419969755e-54,1.0,1,1.0,train
2016-02-01,1.1860913161274553e-33,1.0,1,1.0,train
2016-03-01,8.966524822728516e-21,1.0,1,1.0,train
2016-04-01,8.417738975851275e-10,0.999999999158226,1,0.999999999158226,train
2016-05-01,1.1468085862268496e-07,0.9999998853191413,1,0.9999998853191413,train
2016-06-01,0.00045452466686532185,0.9995454753331346,1,0.9995454753331346,train
2016-07-01,2.5846596955073016e-126,1.0,1,1.0,train
2016-08-01,3.1838699860172754e-33,1.0,1,1.0,train
2016-09-01,9.314280256282322e-10,0.999999999068572,1,0.999999999068572,train
2016-10-01,1.0698602900380029e-09,0.9999999989301398,1,0.9999999989301398,train
2016-11-01,4.2823036774023896e-05,0.9999571769632261,1,0.9999571769632261,train
2016-12-01,2.2389776568565245e-33,1.0,1,1.0,train
2017-01-01,5.965747196974035e-34,1.0,1,1.0,train
2017-02-01,4.1873811417132787e-17,1.0,1,1.0,train
2017-03-01,4.066711516180463e-27,1.0,1,1.0,train
2017-04-01,2.0409760906940247e-09,0.999999997959024,1,0.999999997959024,train
2017-05-01,3.277031012299749e-150,1.0,1,1.0,train
2017-06-01,4.253038389728076e-53,1.0,1,1.0,train
2017-07-01,1.771067232390594e-36,1.0,1,1.0,train
2017-08-01,1.179351505369099e-76,1.0,1,1.0,train
2017-09-01,5.192248214325172e-61,1.0,1,1.0,train
2017-10-01,1.2042213079665262e-12,0.9999999999987959,1,0.9999999999987959,train
2017-11-01,8.827956518051172e-07,0.9999991172043482,1,0.9999991172043482,train
2017-12-01,9.5521964377471e-53,1.0,1,1.0,train
2018-01-01,5.847009247360165e-29,1.0,1,1.0,train
2018-02-01,1.25459680865421e-13,0.9999999999998745,1,0.9999999999998745,train
2018-03-01,1.057061758776485e-31,1.0,1,1.0,train
2018-04-01,0.0,1.0,1,1.0,train
2018-05-01,0.0,1.0,1,1.0,train
2018-06-01,1.6096422728727877e-54,1.0,1,1.0,train
2018-07-01,4.826843174168645e-76,1.0,1,1.0,train
2018-08-01,5.515793122644585e-32,1.0,1,1.0,train
2018-09-01,9.192974092513656e-124,1.0,1,1.0,train
2018-10-01,5.2295925401772143e-110,1.0,1,1.0,train
2018-11-01,1.6293683236335429e-90,1.0,1,1.0,train
2018-12-01,3.1941341369128817e-22,1.0,1,1.0,train
2019-01-01,4.459729128579692e-33,1.0,1,1.0,train
2019-02-01,6.494417074775711e-08,0.9999999350558293,1,0.9999999350558293,train
2019-03-01,3.3441069026787343e-120,1.0,1,1.0,train
2019-04-01,1.951521280311849e-115,1.0,1,1.0,train
2019-05-01,1.2534082457953112e-57,1.0,1,1.0,train
2019-06-01,1.9208618274849557e-255,1.0,1,1.0,train
2019-07-01,6.222978690693087e-150,1.0,1,1.0,train
2019-08-01,1.6214207214984587e-18,1.0,1,1.0,train
2019-09-01,2.4500879243973484e-57,1.0,1,1.0,train
2019-10-01,2.248635431517311e-25,1.0,1,1.0,train
2019-11-01,3.2000757442162894e-21,1.0,1,1.0,train
2019-12-01,4.9739026245216306e-20,1.0,1,1.0,train
2020-01-01,1.3238394826964547e-55,1.0,1,1.0,validation
2020-02-01,1.096084429037937e-12,0.9999999999989039,1,0.9999999999989039,validation
2020-03-01,2.0226453303597663e-55,1.0,1,1.0,validation
2020-04-01,0.9999955344170691,4.465582930928863e-06,0,0.9999955344170691,validation
2020-05-01,7.4494420187867e-14,0.9999999999999255,1,0.9999999999999255,validation
2020-06-01,0.9990661250649306,0.0009338749350694386,0,0.9990661250649306,validation
2020-07-01,0.9999922382501344,7.761749865507142e-06,0,0.9999922382501344,validation
2020-08-01,0.9860715768780366,0.013928423121963499,0,0.9860715768780366,validation
2020-09-01,4.422565773398128e-40,1.0,1,1.0,validation
2020-10-01,1.9082078886607626e-09,0.9999999980917921,1,0.9999999980917921,validation
2020-11-01,3.1018683590579176e-05,0.9999689813164094,1,0.9999689813164094,validation
2020-12-01,8.155872552512124e-07,0.9999991844127447,1,0.9999991844127447,validation
2021-01-01,3.1219400913137278e-52,1.0,1,1.0,validation
2021-02-01,1.496238612070336e-10,0.9999999998503761,1,0.9999999998503761,validation
2021-03-01,3.419758152375945e-10,0.9999999996580241,1,0.9999999996580241,validation
2021-04-01,2.1482493963151837e-32,1.0,1,1.0,validation
2021-05-01,3.632363867272934e-20,1.0,1,1.0,validation
2021-06-01,0.0006819688600216763,0.9993180311399784,1,0.9993180311399784,validation
2021-07-01,8.308210829885588e-90,1.0,1,1.0,validation
2021-08-01,4.025968625329889e-97,1.0,1,1.0,validation
2021-09-01,1.399814798255207e-74,1.0,1,1.0,validation
2021-10-01,0.00010957309207292578,0.9998904269079272,1,0.9998904269079272,validation
2021-11-01,4.577466398213104e-16,0.9999999999999994,1,0.9999999999999994,validation
2021-12-01,1.6266519751220633e-217,1.0,1,1.0,validation
2022-01-01,2.3898873382042525e-148,1.0,1,1.0,validation
2022-02-01,5.8293407635409554e-12,0.9999999999941706,1,0.9999999999941706,validation
2022-03-01,7.168243307152027e-11,0.9999999999283176,1,0.9999999999283176,validation
2022-04-01,0.000343608098198461,0.9996563919018016,1,0.9996563919018016,validation
2022-05-01,4.1630080712996954e-05,0.999958369919287,1,0.999958369919287,validation
2022-06-01,0.00010346986621504785,0.999896530133785,1,0.999896530133785,validation
2022-07-01,0.01312927386335261,0.9868707261366474,1,0.9868707261366474,validation
2022-08-01,0.03118983972893514,0.9688101602710649,1,0.9688101602710649,validation
2022-09-01,0.18227422748401995,0.81772577251598,1,0.81772577251598,validation
2022-10-01,0.09466496520287336,0.9053350347971266,1,0.9053350347971266,validation
2022-11-01,0.01099514590722968,0.9890048540927703,1,0.9890048540927703,validation
2022-12-01,0.005838098111123081,0.9941619018888769,1,0.9941619018888769,validation
2023-01-01,0.038614706504308705,0.9613852934956914,1,0.9613852934956914,test
2023-02-01,0.06787056435860468,0.9321294356413953,1,0.9321294356413953,test
2023-03-01,3.393559647081957e-08,0.9999999660644036,1,0.9999999660644036,test
2023-04-01,1.1476136967226535e-05,0.9999885238630328,1,0.9999885238630328,test
2023-05-01,8.123883563340457e-26,1.0,1,1.0,test
2023-06-01,3.73300436545037e-08,0.9999999626699564,1,0.9999999626699564,test
2023-07-01,2.8357250555507846e-12,0.9999999999971644,1,0.9999999999971644,test
2023-08-01,3.80645729630771e-08,0.9999999619354271,1,0.9999999619354271,test
2023-09-01,0.0001454458248617369,0.9998545541751382,1,0.9998545541751382,test
2023-10-01,0.01615880199868722,0.9838411980013129,1,0.9838411980013129,test
2023-11-01,4.161132847962693e-08,0.9999999583886716,1,0.9999999583886716,test
2023-12-01,2.8022286081500457e-33,1.0,1,1.0,test
2024-01-01,1.0501942352385988e-07,0.9999998949805765,1,0.9999998949805765,test
2024-02-01,0.0006032952068100877,0.9993967047931899,1,0.9993967047931899,test
2024-03-01,4.5335316920619495e-06,0.999995466468308,1,0.999995466468308,test
2024-04-01,3.199238098576077e-16,0.9999999999999998,1,0.9999999999999998,test
2024-05-01,4.789178085323819e-16,0.9999999999999994,1,0.9999999999999994,test
2024-06-01,0.00012509249217992002,0.99987490750782,1,0.99987490750782,test
2024-07-01,6.666634197026998e-41,1.0,1,1.0,test
2024-08-01,3.458674183123456e-23,1.0,1,1.0,test
2024-09-01,1.221753474892878e-11,0.9999999999877826,1,0.9999999999877826,test
2024-10-01,2.155294529811069e-13,0.9999999999997845,1,0.9999999999997845,test
2024-11-01,5.983983310522188e-15,0.999999999999994,1,0.999999999999994,test
2024-12-01,2.3062796974062297e-08,0.999999976937203,1,0.999999976937203,test
2025-01-01,0.006115112725612095,0.993884887274388,1,0.993884887274388,test
2025-02-01,0.052352181907273206,0.9476478180927268,1,0.9476478180927268,test
2025-03-01,0.002374250042788937,0.9976257499572111,1,0.9976257499572111,test
